year,offence_group_name,total_incidents,offense_detection_rate
2018,"Attempts/threats to murder, assaults, harassments and related offences",20191,279.33
2018,Burglary and related offences,16960,332.55
2018,Controlled drug offences,18275,308.62
2018,Damage to property and to the environment  offences,21515,262.14
2018,Dangerous or negligent acts,8561,658.8
2018,"Fraud, deception and related offences",6310,893.82
2018,Kidnapping and related offences,135,41777.78
2018,"Offences against government, justice procedures and organisation of crime",16619,339.37
2018,Public order and other social code offences,31966,176.44
2018,"Robbery, extortion and hijacking offences",2444,2307.69
2018,Theft and related offences,66950,84.24
2018,Weapons and explosives offences,2441,2310.53
2019,"Attempts/threats to murder, assaults, harassments and related offences",21841,258.23
2019,Burglary and related offences,16750,336.72
2019,Controlled drug offences,21309,264.68
2019,Damage to property and to the environment  offences,21916,257.35
2019,Dangerous or negligent acts,8702,648.13
2019,"Fraud, deception and related offences",7930,711.22
2019,Kidnapping and related offences,129,43720.93
2019,"Offences against government, justice procedures and organisation of crime",18119,311.28
2019,Public order and other social code offences,32390,174.13
2019,"Robbery, extortion and hijacking offences",2344,2406.14
2019,Theft and related offences,68195,82.7
2019,Weapons and explosives offences,2689,2097.43
2020,"Attempts/threats to murder, assaults, harassments and related offences",19077,295.64
2020,Burglary and related offences,10886,518.1
2020,Controlled drug offences,23121,243.93
2020,Damage to property and to the environment  offences,19519,288.95
2020,Dangerous or negligent acts,8741,645.24
2020,"Fraud, deception and related offences",7865,717.1
2020,Kidnapping and related offences,136,41470.59
2020,"Offences against government, justice procedures and organisation of crime",11027,511.47
2020,Public order and other social code offences,29020,194.35
2020,"Robbery, extortion and hijacking offences",1819,3100.6
2020,Theft and related offences,51469,109.58
2020,Weapons and explosives offences,3093,1823.47
2021,"Attempts/threats to murder, assaults, harassments and related offences",20354,277.1
2021,Burglary and related offences,8588,656.73
2021,Controlled drug offences,19997,282.04
2021,Damage to property and to the environment  offences,19306,292.14
2021,Dangerous or negligent acts,8282,680.99
2021,"Fraud, deception and related offences",17205,327.81
2021,Kidnapping and related offences,148,38108.11
2021,"Offences against government, justice procedures and organisation of crime",12441,453.34
2021,Public order and other social code offences,28395,198.63
2021,"Robbery, extortion and hijacking offences",1740,3241.38
2021,Theft and related offences,46807,120.49
2021,Weapons and explosives offences,2530,2229.25
2022,"Attempts/threats to murder, assaults, harassments and related offences",23879,236.19
2022,Burglary and related offences,9459,596.26
2022,Controlled drug offences,17288,326.24
2022,Damage to property and to the environment  offences,21707,259.82
2022,Dangerous or negligent acts,8231,685.21
2022,"Fraud, deception and related offences",11777,478.9
2022,Kidnapping and related offences,161,35031.06
2022,"Offences against government, justice procedures and organisation of crime",15632,360.8
2022,Public order and other social code offences,31294,180.23
2022,"Robbery, extortion and hijacking offences",2071,2723.32
2022,Theft and related offences,65912,85.57
2022,Weapons and explosives offences,2625,2148.57
2023,"Attempts/threats to murder, assaults, harassments and related offences",23897,236.01
2023,Burglary and related offences,9567,589.53
2023,Controlled drug offences,17239,327.17
2023,Damage to property and to the environment  offences,22436,251.38
2023,Dangerous or negligent acts,7669,735.43
2023,Kidnapping and related offences,154,36623.38
2023,"Offences against government, justice procedures and organisation of crime",15718,358.82
2023,Public order and other social code offences,28843,195.54
2023,"Robbery, extortion and hijacking offences",2615,2156.79
2023,Theft and related offences,73812,76.41
2023,Weapons and explosives offences,2770,2036.1
